year,position,team,points,games,victories,draws,losses,goals_scored,goals_against,goals_difference,perc_total_points,rank_tm,amount_trophy,victories_20g,goals_diff_20g
2003,1,Cruzeiro,100,46,31,7,8,102,47,55,"87,72",0,4,0,0
2003,2,Santos,87,46,25,12,9,93,60,33,"76,32",0,7,0,0
2003,3,Sao Paulo,78,46,22,12,12,81,67,14,"68,42",0,3,0,0
2003,4,Sao Caetano,74,46,19,14,13,53,37,16,"64,91",0,0,0,0
2003,5,Coritiba,73,46,21,10,15,67,58,9,"64,04",0,1,0,0
2003,6,Internacional,72,46,20,10,16,59,57,2,"63,16",0,3,0,0
2003,7,Atletico Mineiro,72,46,19,15,12,76,62,14,"63,16",0,1,0,0
2003,8,Flamengo,66,46,18,12,16,66,73,-7,"57,89",0,5,0,0
2003,9,Goias,65,46,18,11,17,78,63,15,"57,02",0,0,0,0
2003,10,Parana,65,46,18,11,17,85,75,10,"57,02",0,0,0,0
2003,11,Figueirense,65,46,17,14,15,62,54,8,"57,02",0,0,0,0
2003,12,Atletico Paranaense,61,46,17,10,19,67,72,-5,"53,51",0,1,0,0
2003,13,Guarani,61,46,17,10,19,64,72,-8,"53,51",0,1,0,0
2003,14,Criciuma,60,46,17,9,20,57,69,-12,"52,63",0,0,0,0
2003,15,Corinthians,59,46,15,12,19,61,63,-2,"51,75",0,3,0,0
2003,16,Vitoria,56,46,15,11,20,50,64,-14,"49,12",0,0,0,0
2003,17,Vasco da Gama,54,46,13,15,18,57,69,-12,"47,37",0,4,0,0
2003,18,Juventude,53,46,12,14,20,55,70,-15,"46,49",0,0,0,0
2003,19,Fluminense,52,46,13,11,22,52,77,-25,"45,61",0,2,0,0
2003,20,Gremio,50,46,13,11,22,54,68,-12,"43,86",0,2,0,0
2003,21,Ponte Preta,50,46,11,18,17,63,73,-10,"43,86",0,0,0,0
2003,22,Paysandu,49,46,15,12,19,74,77,-3,"42,98",0,0,0,0
2003,23,Fortaleza,49,46,12,13,21,58,74,-16,"42,98",0,0,0,0
2003,24,Bahia,46,46,12,10,24,59,92,-33,"40,35",0,2,0,0
2004,1,Santos,89,46,27,8,11,103,58,45,"78,07",0,8,0,0
2004,2,Atletico Paranaense,86,46,25,11,10,93,56,37,"75,44",0,1,0,0
2004,3,Sao Paulo,82,46,24,10,12,78,43,35,"71,93",0,0,0,0
2004,4,Palmeiras,79,46,22,13,11,72,47,25,"69,3",0,8,0,0
2004,5,Corinthians,74,46,20,14,12,54,54,0,"64,91",0,0,0,0
2004,6,Goias,72,46,21,9,16,81,68,13,"63,16",0,0,0,0
2004,7,Juventude,70,46,20,10,16,60,66,-6,"61,4",0,0,0,0
2004,8,Internacional,67,46,20,7,19,66,59,7,"58,77",0,0,0,0
2004,9,Fluminense,67,46,18,13,15,65,68,-3,"58,77",0,0,0,0
2004,10,Ponte Preta,64,46,19,7,20,43,73,-30,"56,14",0,0,0,0
2004,11,Figueirense,63,46,17,12,17,57,59,-2,"55,26",0,0,0,0
2004,12,Coritiba,62,46,15,17,14,53,48,-5,"54,39",0,1,0,0
2004,13,Cruzeiro,56,46,16,8,22,69,81,-12,"49,12",0,0,0,0
2004,14,Paysandu,56,46,14,14,18,56,76,-20,"49,12",0,0,0,0
2004,15,Parana,54,46,15,9,22,52,73,-21,"47,37",0,0,0,0
2004,16,Vasco da Gama,54,46,14,12,20,64,68,-4,"47,37",0,0,0,0
2004,17,Flamengo,54,46,13,15,18,51,53,-2,"47,37",0,0,0,0
2004,18,Sao Caetano,53,46,23,8,15,65,49,15,"46,49",0,0,0,0
2004,19,Atletico Mineiro,53,46,12,17,17,60,66,-6,"46,49",0,0,0,0
2004,20,Botafogo,51,46,11,18,17,62,71,-9,"44,74",0,0,0,0
